Entity,Code,Year,battery_electric_share
Austria,AUT,2001,0
Austria,AUT,2002,0.000357791
Austria,AUT,2003,0
Austria,AUT,2004,0
Austria,AUT,2005,0
Austria,AUT,2006,0
Austria,AUT,2007,0
Austria,AUT,2008,0.000680976
Austria,AUT,2009,0.012216973
Austria,AUT,2010,0.034145092
Austria,AUT,2011,0.177737095
Austria,AUT,2012,0.184220708
Austria,AUT,2013,0.262980551
Austria,AUT,2014,0.462880541
Austria,AUT,2015,0.569104374
Austria,AUT,2016,1.025169597
Austria,AUT,2017,1.537699536
Austria,AUT,2018,1.983182239
Austria,AUT,2019,2.698845954
Belgium,BEL,2001,0.001023269
Belgium,BEL,2002,0.000855652
Belgium,BEL,2003,0
Belgium,BEL,2004,0
Belgium,BEL,2005,0
Belgium,BEL,2006,0
Belgium,BEL,2007,0
Belgium,BEL,2008,0
Belgium,BEL,2009,0
Belgium,BEL,2010,0.006590835
Belgium,BEL,2011,0.048409055
Belgium,BEL,2012,0.169701851
Belgium,BEL,2013,0.154507038
Belgium,BEL,2014,0.281816714
Belgium,BEL,2015,0.324308574
Belgium,BEL,2016,0.370700568
Belgium,BEL,2017,0.464909488
Belgium,BEL,2018,0.663716814
Belgium,BEL,2019,1.606718509
Denmark,DNK,2001,0.007282867
Denmark,DNK,2002,0.000891146
Denmark,DNK,2003,0.002057423
Denmark,DNK,2004,0.002462124
Denmark,DNK,2005,0.001349737
Denmark,DNK,2006,0.001274624
Denmark,DNK,2007,0.001228682
Denmark,DNK,2008,0.003318973
Denmark,DNK,2009,0.069665872
Denmark,DNK,2010,0.027397796
Denmark,DNK,2011,0.268814042
Denmark,DNK,2012,0.315605183
Denmark,DNK,2013,0.296794836
Denmark,DNK,2014,0.870586244
Denmark,DNK,2015,2.159227346
Denmark,DNK,2016,0.525674234
Denmark,DNK,2017,0.320504164
Denmark,DNK,2018,0.707850708
Denmark,DNK,2019,2.437808531
Europe,,2019,2.211368714
Europe,,2020,6.212287682
Finland,FIN,2001,0
Finland,FIN,2002,0
Finland,FIN,2003,0
Finland,FIN,2004,0
Finland,FIN,2005,0
Finland,FIN,2006,0
Finland,FIN,2007,0
Finland,FIN,2008,0.003595312
Finland,FIN,2009,0.001107898
Finland,FIN,2010,0.012569017
Finland,FIN,2011,0.023777632
Finland,FIN,2012,0.094346404
Finland,FIN,2013,0.211608515
Finland,FIN,2014,0.189121292
Finland,FIN,2015,0.22416375
Finland,FIN,2016,0.178932955
Finland,FIN,2017,0.409608091
Finland,FIN,2018,0.642849441
Finland,FIN,2019,1.660452007
France,FRA,2001,0.018050926
France,FRA,2002,0.010862111
France,FRA,2003,0.005624
France,FRA,2004,0.02284342
France,FRA,2005,0.000290165
France,FRA,2006,0.000649817
France,FRA,2007,0.000290557
France,FRA,2008,0.000195095
France,FRA,2009,0.000445853
France,FRA,2010,0.008351712
France,FRA,2011,0.122541154
France,FRA,2012,0.317813691
France,FRA,2013,0.5215086
France,FRA,2014,0.622015966
France,FRA,2015,0.942474628
France,FRA,2016,1.086489132
France,FRA,2017,1.182792541
France,FRA,2018,1.430591141
France,FRA,2019,1.93922737
Germany,DEU,2001,0.001676042
Germany,DEU,2002,0.000584195
Germany,DEU,2003,0.000525256
Germany,DEU,2004,0.000306121
Germany,DEU,2005,0.000538809
Germany,DEU,2006,0.000086543
Germany,DEU,2007,0.000190683
Germany,DEU,2008,0.000161902
Germany,DEU,2009,0.004011016
Germany,DEU,2010,0.013204582
Germany,DEU,2011,0.069450856
Germany,DEU,2012,0.115885532
Germany,DEU,2013,0.249408742
Germany,DEU,2014,0.315580308
Germany,DEU,2015,0.387657954
Germany,DEU,2016,0.341852544
Germany,DEU,2017,0.730537078
Germany,DEU,2018,1.052242751
Germany,DEU,2019,1.759369237
Greece,GRC,2001,0
Greece,GRC,2002,0
Greece,GRC,2003,0
Greece,GRC,2004,0
Greece,GRC,2005,0
Greece,GRC,2006,0
Greece,GRC,2007,0
Greece,GRC,2008,0
Greece,GRC,2009,0.00045369
Greece,GRC,2010,0
Greece,GRC,2011,0
Greece,GRC,2012,0.003419914
Greece,GRC,2013,0.005111342
Greece,GRC,2014,0.075825657
Greece,GRC,2015,0.042213574
Greece,GRC,2016,0.02535722
Greece,GRC,2017,0.042007743
Greece,GRC,2018,0.070578453
Greece,GRC,2019,0.164741759
Iceland,ISL,2016,1.248311267
Iceland,ISL,2017,1.948416036
Ireland,IRL,2001,0
Ireland,IRL,2002,0
Ireland,IRL,2003,0
Ireland,IRL,2004,0
Ireland,IRL,2005,0
Ireland,IRL,2006,0
Ireland,IRL,2007,0
Ireland,IRL,2008,0
Ireland,IRL,2009,0.003656575
Ireland,IRL,2010,0.019534616
Ireland,IRL,2011,0.051693525
Ireland,IRL,2012,0.172331379
Ireland,IRL,2013,0.063280061
Ireland,IRL,2014,0.236010896
Ireland,IRL,2015,0.372964104
Ireland,IRL,2016,0.267562181
Ireland,IRL,2017,0.473778421
Ireland,IRL,2018,0.98236836
Ireland,IRL,2019,2.941905275
Italy,ITA,2001,0.006011486
Italy,ITA,2002,0.00539
